policy_id,policy_name,version,file_path,status,effective_date,approved_by,approval_method,next_review_date,gap_ids_closed,soc2_criteria,gdpr_basis,notes
POL-001,Acceptable Use Policy,1.0,docs/ACCEPTABLE_USE_POLICY.md,AUTHORED_PENDING_COUNSEL,TBD,founder,git-commit + founder signature,2027-05-01,CC1-GAP-001; CC5-GAP-001,CC1.1; CC5.3; CC6.3,Art. 5(1)(f); Art. 9,Promoted from SOC2_READINESS.md Annex A. Takes legal effect on founder signature + external counsel approval. Acknowledgment path: compliance/cc1/aup/
POL-002,Cryptography Policy,1.0,docs/CRYPTOGRAPHY_POLICY.md,IN_FORCE,2026-05-21,security-engineer + compliance-officer,git-commit + owner approval,2027-05-01,CC5-GAP-002,CC5.2; CC5.3; C1.1; C1.2,Art. 5(1)(f); Art. 32,Technical policy — no external counsel dependency. In force immediately on authoring. Annual review per §15 compliance calendar.
POL-003,Security Policy,1.0,docs/SECURITY.md,IN_FORCE,2026-05-01,security-engineer,git-commit,2027-05-01,,CC6.1; CC6.2; CC6.3,,Existing doc — pre-dates policy log. Retroactively registered.
POL-004,Privacy Policy,1.0,docs/PRIVACY_POLICY.md,IN_FORCE_PENDING_COUNSEL,2026-05-01,founder,git-commit,2027-05-01,P-GAP-001,P1.1; P2.1; P3.1,Art. 13; Art. 14; Art. 9,Published at marketing site. Requires external counsel review before enterprise tier launch. P-GAP-001 open.
POL-005,GDPR Data Protection Impact Assessment,1.0,docs/GDPR_DPIA.md,IN_FORCE,2026-05-01,compliance-officer,git-commit,2027-05-01,,P1.1; P3.1; P4.1,Art. 35; Art. 9,DPIA completed pre-launch. Annual review or on material processing change.
POL-006,Incident Response Policy,0.4,docs/INCIDENT_RESPONSE.md,IN_FORCE,2026-05-01,security-engineer + devops-lead,git-commit,2027-05-01,,CC7.3; CC7.4; CC9.2,Art. 33; Art. 34,Reviewed after every P0/P1 incident. v0.4 includes R-01 through R-10 runbooks.
POL-007,Vendor / Sub-processor Risk Register,1.0,compliance/p1/sub-processor-register.md,IN_FORCE,2026-05-15,compliance-officer,git-commit,2026-11-15,,CC9.2,Art. 28; Art. 46,Updated on every new sub-processor addition. 6-month interim review.
POL-008,Data Retention Decision Record,1.0,compliance/p1/retention-decisions.md,IN_FORCE,2026-05-14,compliance-officer,git-commit,2027-05-01,,A1.2,Art. 5(1)(e); Art. 9,Covers all data categories including wearable_readings (2-year retention).
POL-009,Complaint Intake Procedure,1.0,compliance/p1/complaint-intake-procedure.md,IN_FORCE,2026-05-21,compliance-officer,git-commit,2027-05-01,,P8.1,Art. 77; Art. 57,Formal procedure for regulatory and user complaints. Complaint log in compliance/p1/complaint-log.csv.
POL-010,Vulnerability Management & Patching SLA Policy,1.0,compliance/cc7/vuln-management-policy.md,IN_FORCE,2026-06-07,security-engineer + compliance-officer,git-commit,2026-09-07,PRE-15; CC5.3,CC7.1; CC7.2; CC7.3; CC7.4; CC5.3,Art. 5(1)(f); Art. 32,Standalone auditor exhibit filing SOC2_READINESS.md §41. Closes PRE-15 (patching SLA enforced) and CC5.3 (standalone policy). Evidence set CC7-E-001 through CC7-E-009 in compliance/evidence/vuln-management/. Quarterly review cadence.
POL-011,Change Management & SDLC Policy,1.0,compliance/cc8/change-management-policy.md,IN_FORCE,2026-06-07,devops-lead + security-engineer,git-commit,2027-06-07,CC8-GAP-001,CC8.1,Art. 32,Closes four SOC2_READINESS.md CC8 gaps: change management process; CI pass required; rollback capability; emergency change process. Evidence set CC8-E-001 through CC8-E-008. Annual review cadence.
